x,y,z
9.648633,2.9041667,3.5793316
8.319851,-7.941567,0.5434838
12.617443,-12.466608,-0.7469909
9.344569,-5.2265425,0.94570965
5.805939,-0.9768343,0.8499416
8.379706,-1.8650831,-2.0901382
9.65821,-1.673547,-5.044583
9.7563715,0.63206923,-6.030994
9.153033,2.681506,-5.161899
8.887277,3.4644098,-3.596091
8.645462,4.0581717,-2.6599581
8.856153,4.829105,-2.4061728
8.973468,4.8003745,-2.80361
8.973468,4.9105077,-3.0119057
9.074024,4.7907977,-3.2465374
8.9040365,4.8123455,-2.5761611
9.124303,3.8905778,-2.1883004
8.973468,4.048595,-1.5490485
9.033323,3.9264908,-2.5689783
8.9998045,4.297592,-2.908955
9.107543,3.4955344,-2.6240451
9.246407,2.80361,-2.791639
9.198523,2.6192567,-2.9496565
9.167398,2.5330653,-3.1028855
9.174581,2.1739352,-2.9041667
9.234436,2.111686,-2.8395233
9.267955,2.0087352,-3.086126
9.26556,2.3223755,-3.5697548
9.212888,1.9321208,-2.9903579
9.315839,2.3223755,-2.918532
9.296685,2.231396,-2.9113493
9.212888,2.1859062,-2.822764
9.284714,2.5210943,-2.6910827
9.3733,2.4588451,-2.980781
9.241618,2.3391352,-2.767697
9.306262,2.5953147,-2.6647465
9.227253,2.5210943,-2.72939
9.248801,2.8203697,-2.8203697
9.138668,2.7365725,-2.908955
9.143456,2.767697,-2.7485435
9.284714,2.846706,-2.8060043
9.198523,2.765303,-2.9855695
9.232041,2.779668,-2.753332
9.303867,2.6671407,-2.731784
9.291897,2.7150247,-2.5498247
9.320627,2.585738,-2.4971523
9.557653,2.4516625,-2.4875755
9.255983,1.4987702,-2.5881321
9.378088,2.5234885,-2.8107927
9.208099,2.396596,-2.585738
9.349358,2.4708161,-1.9752164
9.277532,2.585738,-2.1811178
9.284714,2.480393,-2.6048915
9.296685,2.6527755,-2.7222073
9.346964,2.4229321,-2.4756045
9.124303,2.5929205,-2.3630772
9.356541,2.6767175,-2.7365725
9.160215,2.408567,-2.7389667
9.382876,2.5761611,-2.8754363
9.277532,2.3391352,-2.4995465
9.263166,2.2816741,-2.5785553
9.248801,2.5378537,-2.504335
9.255983,2.4756045,-2.6599581
9.3182335,2.669535,-2.693477
9.272743,2.504335,-2.731784
9.277532,2.657564,-2.7988217
9.323022,2.753332,-2.528277
9.263166,2.621651,-2.528277
9.454702,2.5354595,-2.360683
9.176975,2.6503813,-2.4779987
9.473856,2.657564,-2.4899697
9.301474,2.5929205,-2.480393
9.28232,2.5187001,-2.2098482
9.248801,2.6767175,-2.2337902
9.25359,2.5139117,-2.3894134
9.390059,2.4875755,-2.243367
9.224859,2.5354595,-2.1212628
9.375694,2.4540567,-2.1284454
9.363723,2.6743233,-2.3798366
9.40203,2.6719291,-2.6144683
9.275137,2.5306711,-2.2744915
9.390059,2.4349031,-2.0398598
9.435549,2.6719291,-2.1045034
9.114726,2.633622,-2.542642
9.588778,2.4779987,-2.6479871
9.210494,2.4181437,-2.243367
9.320627,2.669535,-1.9991584
9.43076,2.8921957,-2.2457612
9.3182335,2.5713725,-2.4827871
9.354146,2.540248,-2.5354595
9.313444,2.6431987,-2.2816741
9.344569,2.6886885,-2.303222
9.32781,2.6288335,-2.4995465
9.488221,2.4756045,-2.6384103
9.258378,2.4588451,-1.4987702
9.43076,2.3774424,-1.7812861
9.466674,2.3535004,-2.2481554
9.440337,2.1619642,-2.3463178
9.397242,2.707842,-2.054225
9.349358,2.5450363,-2.0470424
9.291897,2.7222073,-2.3391352
9.425972,2.9257145,-2.5785553
9.3182335,2.765303,-2.3391352
9.3182335,2.7150247,-2.3630772
9.28232,2.4660277,-2.1164744
9.425972,2.707842,-1.8914193
9.346964,2.6192567,-2.0614076
9.425972,2.5881321,-2.2840683
9.320627,2.2337902,-2.2936451
9.483433,1.9536686,-2.0350714
9.344569,2.2098482,-2.1260512
9.457097,2.7581203,-2.315193
9.509769,2.6767175,-2.4229321
9.442732,2.396596,-2.2505496
9.473856,2.4109612,-2.0278888
9.445126,2.5881321,-2.0087352
9.26556,2.6862943,-1.9632454
9.7803135,2.7748797,-1.4556746
8.157045,2.837129,-1.9440918
9.495404,1.7621324,-1.9632454
9.617508,2.8658595,-1.6927006
9.229648,2.5905263,-2.0398598
9.502586,2.7748797,-2.1284454
9.267955,2.7581203,-2.0829554
9.375694,2.6360161,-2.1883004
9.421184,2.6360161,-2.219425
9.32781,2.327164,-2.2888567
9.394848,2.4253263,-2.2457612
9.3661175,2.72939,-2.2170308
9.299079,2.5833437,-2.0973208
9.536105,2.3989902,-1.9967642
9.141062,2.4540567,-2.1547816
