x,y,z
0.5410896,2.3247697,9.313444
0.5482722,2.3080103,9.337387
0.5746084,2.3918076,9.41879
0.5243302,2.3894134,9.399636
0.58418524,2.2840683,9.289502
0.5650316,2.2816741,9.330204
0.557849,2.4253263,9.31105
0.50996494,2.4540567,9.28232
0.5506664,2.2864625,9.339781
0.46447513,2.3678656,9.349358
0.545878,2.3989902,9.368511
0.5243302,2.4827871,9.31105
0.49081135,2.4349031,9.339781
0.5674258,2.3678656,9.260772
0.51475334,2.420538,9.330204
0.49559975,2.4229321,9.32781
0.50278234,2.2720973,9.294291
0.58418524,2.4971523,9.258378
0.51954174,2.4061728,9.397242
0.5626374,2.3582888,9.289502
0.50038815,2.396596,9.28232
0.5650316,2.480393,9.294291
0.545878,2.4468741,9.313444
0.521936,2.3798366,9.325416
0.5410896,2.480393,9.224859
0.5315128,2.492364,9.399636
0.51235914,2.4612393,9.344569
0.61530983,2.516306,9.217676
0.51954174,2.432509,9.208099
0.50278234,2.542642,9.334992
0.48602295,2.4229321,9.346964
0.5315128,2.5617957,9.301474
0.51475334,2.5354595,9.210494
0.48602295,2.540248,9.193734
0.46926352,2.7222073,9.344569
0.533907,3.0023289,9.296685
0.6392518,3.478775,9.14585
0.60333884,3.5649664,9.126697
0.581791,3.5338416,9.0429
0.60812724,3.9217024,8.829816
0.59615624,4.4843397,8.604761
0.61530983,4.51307,8.377312
0.59855044,4.687847,8.331821
0.59376204,4.9655743,8.355764
0.6703765,5.0637364,8.310274
0.80445176,5.401319,8.034941
0.7565677,5.317522,8.066066
0.82599956,5.4779334,8.058883
0.79487497,5.5377884,7.9367785
0.89782566,5.590461,7.7907324
0.8738836,5.571307,7.785944
0.8523358,5.781997,7.833828
0.90979666,5.7484784,7.752425
0.93613285,5.6000376,7.7332716
0.842759,5.647922,7.893683
1.0007763,5.884948,7.6231384
0.8810662,5.686229,7.7572136
0.89543146,5.583278,8.027759
0.94570965,5.4085016,8.008605
0.9816227,5.4659624,7.97748
0.9744401,5.303157,7.965509
0.9816227,5.209783,7.9822683
0.93134445,5.118803,8.185776
0.93613285,5.0613422,8.281544
0.92416185,5.1523223,8.157045
1.0127473,5.1882353,8.106767
0.94092125,5.0996494,8.197746
1.0103531,5.3223104,8.166622
0.9744401,5.056554,8.209718
0.9528923,5.0182467,8.255207
0.9624691,5.0661306,8.061277
0.9576807,5.1786585,8.1402855
0.9864111,5.2648497,8.109161
0.9768343,5.183447,8.173804
1.0965444,5.2265425,8.0445175
0.9888053,5.2121773,8.085219
0.9528923,5.171476,8.152257
0.9864111,5.1930237,8.049306
0.94331545,5.2121773,8.121132
0.9528923,5.2145715,8.111555
0.8810662,5.315128,8.1163435
0.92655605,5.207389,8.219295
0.8810662,5.159505,8.180987
1.0223241,5.097255,8.137892
0.9792285,5.2840033,8.1642275
0.9935937,5.1762643,8.159439
1.0654198,5.0254292,8.121132
1.0007763,5.068525,8.130709
0.9864111,5.130774,8.106767
0.94331545,5.221754,8.180987
0.93134445,5.269638,8.149862
0.90261406,5.2385135,8.231265
0.9624691,5.149928,8.204929
0.89064306,5.1906295,8.106767
0.92895025,5.12838,8.037335
0.9864111,5.2289367,8.030152
1.0031705,5.145139,8.09719
0.9552865,5.197812,8.0924015
1.043872,5.1379566,8.085219
1.0007763,5.1906295,8.003817
1.0702082,5.386954,7.7691846
1.127669,5.523423,7.8745294
0.7541735,5.2840033,8.255207
0.92895025,5.291186,8.128315
1.0271125,5.5497594,7.5561004
0.8475474,5.662287,8.152257
0.7302315,5.104438,8.303091
0.8619126,3.8905778,8.166622
1.0726024,4.5896845,8.568848
0.58657944,4.9057193,9.500193
0.37110126,2.8491,9.770737
0.33518824,1.7932571,9.97185
0.39983168,1.5777789,9.555259
0.79248077,1.7166426,8.99741
0.60573304,1.0654198,9.193734
0.45729253,1.316811,9.787497
0.2873042,1.30484,9.512163
0.59615624,1.0175357,9.382876
0.47644615,1.1803415,9.744401
0.59615624,1.7932571,9.442732
0.5243302,0.94331545,9.344569
0.48602295,1.2737153,9.787497
0.2825158,1.5969325,9.871294
0.4333505,1.2234371,9.387665
0.45489833,0.8355764,9.31105
0.4213795,1.520318,9.809045
0.08379706,1.1228806,9.907207
0.31364042,0.12210429,9.495404
0.2801216,0.2777274,9.045294
0.62009823,0.6871359,9.454702
0.48362875,1.1468226,9.797073
0.37588966,1.1013328,9.730036
0.44532153,0.8499416,9.485827
0.7350199,1.0342951,9.598354
0.60333884,0.07182605,9.639056
0.49320555,-0.007182605,9.682152
0.4357447,0.107739076,9.61272
0.533907,0.5770026,9.583989
0.5530606,0.9744401,9.624691
0.5530606,0.9744401,9.624691
0.48362875,1.1731589,9.751583
0.4381389,0.9744401,9.497798
0.5267244,0.89782566,9.548077
0.60094464,0.6919243,9.421184
0.34715924,0.40940848,9.662998
0.4237737,0.47405192,9.82341
0.5626374,0.5554548,9.471462
0.7685388,0.4261679,9.301474
0.557849,0.60573304,9.533711
0.5554548,0.6823475,9.593566
