x,y,z
9.349358,2.4875755,-2.6839
9.289502,2.4229321,-2.705448
9.346964,2.4612393,-2.6982653
9.344569,2.4301147,-2.695871
9.205706,2.4779987,-2.6862943
9.222465,2.4636335,-2.719813
9.239224,2.5306711,-2.7246015
9.325416,2.4851813,-2.767697
9.325416,2.4468741,-2.6743233
9.227253,2.4540567,-2.7246015
9.320627,2.4061728,-2.707842
9.248801,2.3535004,-2.765303
9.325416,2.4109612,-2.7724855
9.32781,2.4229321,-2.705448
9.26556,2.3630772,-2.7341783
9.303867,2.3798366,-2.7102363
9.306262,2.3870192,-2.707842
9.284714,2.3942018,-2.743755
9.299079,2.4181437,-2.6743233
9.277532,2.4277205,-2.7126305
9.215282,2.4660277,-2.8083985
9.234436,2.432509,-2.7246015
9.313444,2.5354595,-2.7700913
9.260772,2.4612393,-2.767697
9.258378,2.468422,-2.8179753
9.272743,2.4612393,-2.8083985
9.26556,2.3654714,-2.8299465
9.241618,2.3918076,-2.791639
9.234436,2.291251,-2.873042
9.260772,2.4037786,-2.791639
9.193734,2.4277205,-2.8179753
9.26556,2.4253263,-2.8658595
9.284714,2.4181437,-2.8419175
9.320627,2.4037786,-2.8874073
9.227253,2.4708161,-2.846706
9.320627,2.4157495,-2.8443117
9.255983,2.4181437,-2.861071
9.186552,2.360683,-2.8921957
9.255983,2.3798366,-2.9137435
9.263166,2.3654714,-2.920926
9.299079,2.3535004,-2.908955
9.255983,2.3343468,-2.882619
9.186552,2.3223755,-2.8514943
9.267955,2.3798366,-2.837129
9.289502,2.3343468,-2.8682537
9.248801,2.4013844,-2.8898015
9.251195,2.420538,-2.825158
9.299079,2.4301147,-2.8443117
9.186552,2.3199813,-2.8562827
9.301474,2.3942018,-2.8898015
9.203311,2.3247697,-2.8802247
9.346964,2.4157495,-2.8083985
9.263166,2.4109612,-2.9137435
9.28232,2.4109612,-2.870648
9.263166,2.4492683,-2.815581
9.25359,2.3127987,-2.8443117
9.198523,2.432509,-2.8658595
9.260772,2.4229321,-2.930503
9.198523,2.3918076,-2.9759927
9.28232,2.4947581,-2.932897
9.229648,2.5330653,-2.908955
9.260772,2.4420857,-2.9472623
9.210494,2.4109612,-2.9496565
9.289502,2.4779987,-2.9017725
9.361329,2.4612393,-2.954445
9.272743,2.4492683,-2.980781
9.272743,2.4277205,-2.8993783
9.232041,2.4277205,-2.9376855
9.289502,2.315193,-2.9951463
9.320627,2.3391352,-2.8802247
9.299079,2.3463178,-2.8778305
9.299079,2.2768857,-2.8538885
9.306262,2.3056161,-2.7940333
9.313444,2.2146366,-2.7126305
9.270349,2.231396,-2.791639
9.296685,2.291251,-2.7341783
9.3182335,2.1763294,-2.7389667
9.306262,2.099715,-2.6767175
9.409213,2.0925324,-2.7868507
9.356541,1.9560628,-2.7461493
9.385271,1.8818425,-2.7150247
9.380483,1.9009962,-2.7126305
9.442732,1.8602947,-2.7389667
9.308656,1.7836803,-2.7246015
9.397242,1.8339585,-2.6743233
9.423578,1.7525556,-2.6527755
9.425972,1.7836803,-2.5761611
9.425972,1.8363527,-2.6240451
9.435549,1.7645266,-2.566584
9.435549,1.769315,-2.542642
9.421184,1.7357962,-2.5474305
9.471462,1.7764976,-2.5570073
9.423578,1.8004397,-2.540248
9.435549,1.8339585,-2.5474305
9.375694,1.7166426,-2.5929205
9.414001,1.8148049,-2.6431987
9.428367,1.8435353,-2.681506
9.411607,1.8770541,-2.7485435
9.346964,1.8938135,-2.72939
9.428367,1.9057846,-2.743755
9.428367,1.8794483,-2.8538885
9.428367,1.9608512,-2.8060043
9.435549,2.0398598,-2.8443117
9.392453,2.1906946,-2.9352913
9.749189,3.2465374,-3.4715924
9.339781,4.209007,-3.5673606
9.143456,4.1419687,-3.7134068
9.313444,4.213795,-3.526659
9.095572,3.8618474,-3.4213142
9.088389,3.0765493,-3.3207579
9.208099,2.4133554,-3.0262709
9.066842,1.8674773,-2.6743233
8.844181,1.4221559,-2.4229321
9.088389,0.82360536,-2.1787236
8.947132,0.29688102,-1.8148049
8.887277,-0.16759412,-1.7717092
9.059659,-0.63206923,-1.5298948
9.081207,-1.1444284,-1.6160861
9.165004,-1.5251064,-1.9249382
9.0476885,-1.9608512,-1.7621324
8.956709,-3.107674,-1.1300632
8.626308,-4.1012673,-0.8355764
8.7053175,-4.3047748,-0.40222588
8.403648,-5.9448028,1.3599066
8.327033,-8.240842,2.1452048
8.566454,-8.255207,2.3319526
8.329428,-7.4483614,2.4492683
8.599973,-6.8043213,2.2266076
8.978256,-5.499481,2.1571758
8.90643,-3.845088,2.4396915
9.598354,-2.566584,3.0550013
9.339781,-2.066196,2.5713725
8.839393,-2.3199813,2.135628
8.789114,-2.207454,2.1978772
8.269572,-1.9752164,2.9472623
8.054094,-2.5713725,3.4476504
8.133103,-3.7325604,3.2824504
8.197746,-3.3159695,3.4284968
8.549694,-2.9472623,3.4356794
8.765172,-2.753332,3.3662477
8.748413,-2.8898015,3.4572272
8.887277,-3.1747115,3.5482068
8.844181,-2.9759927,3.6367924
8.863335,-2.8874073,3.6583402
8.781932,-3.1747115,3.4859576
8.76996,-3.5290532,3.3375173
8.674192,-3.2513258,3.2920272
8.566454,-3.052607,3.25372
8.549694,-2.9376855,3.1986535
8.504205,-3.0071173,3.4141316
8.513782,-2.9616275,3.5122938
8.463503,-2.846706,3.6487634
8.513782,-2.870648,3.7541082
8.59279,-2.767697,3.86903
8.525752,-2.8395233,3.86903
8.571242,-2.96881,3.8953662
8.623915,-2.930503,3.857059
8.542512,-2.908955,3.7900212
8.590396,-2.8395233,3.6942532
8.607155,-2.7365725,3.6224272
8.571242,-2.6072857,3.5745432
8.561666,-2.7269957,3.4955344
8.568848,-2.7581203,3.5434184
8.544906,-2.6767175,3.4093432
8.597578,-2.7868507,3.347094
8.6574335,-2.6288335,3.5242648
8.568848,-2.813187,3.1842883
8.540117,-2.8323407,2.8419175
8.597578,-2.2960393,2.789245
8.4108305,-1.8052281,2.7126305
8.451532,-0.39504328,2.5474305
8.990228,-0.4189853,1.3096284
9.727641,0.05267244,0.0023942017
9.763555,1.0749966,-0.5770026
9.545682,0.62967503,1.5873557
6.3829417,1.400608,3.904943
4.5274353,0.4309563,2.111686
5.0541596,-6.1746464,-1.0702082
6.033388,-11.664551,-4.209007
7.359776,-20.839132,-7.587225
4.675876,-14.829685,-7.654263
7.699753,-7.9870567,-3.763685
9.076419,-6.5481415,2.1212628
9.945514,-10.778696,3.41892
11.7387705,-9.143456,3.6343982
11.073183,-7.1634517,2.9472623
8.549694,-7.00304,3.2202013
4.381389,-6.813898,4.9536033
2.8802247,-6.8306575,5.2049947
1.1827357,-5.0613422,7.079654
0.6823475,-3.7732618,6.7253127
-0.35673606,-4.522647,5.973533
-1.1827357,-5.494693,6.411672
-1.7525556,-3.3854012,8.401254
-1.6567876,-2.2337902,8.358158
-0.50757074,-3.0933087,6.6774287
-0.7278373,-2.9400797,7.848193
-1.0989386,-1.9680338,9.540894
-0.6464345,-0.7158663,9.696517
-0.46447513,-1.30484,9.739613
-0.28491,-2.219425,10.09156
-0.2896984,-1.9297266,10.445902
0.15562311,-0.93134445,10.469844
0.18674773,-1.4293385,10.7116585
0.5650316,-1.3431472,10.912771
0.82599956,-1.2018893,10.778696
0.7517793,-0.34955344,10.366894
0.79966336,0.82360536,9.169792
0.9744401,-0.5626374,9.627085
1.0055647,-1.388637,9.617508
0.9816227,-0.7086837,10.216059
1.2641385,-0.4405331,10.196905
1.6136919,-1.1827357,10.158598
1.1731589,-1.2880806,9.94312
1.2761095,0.17477672,8.1881695
1.7956513,-1.0319009,5.046977
2.0159178,0.94092125,8.465898
0.79008657,3.9959226,6.9647326
1.3862427,4.5561657,9.148245
0.48841715,1.5729905,12.346898
-0.29209262,2.8179753,12.361263
1.3958195,2.3942018,9.390059
1.1659763,2.705448,9.090784
1.2425907,3.6774938,9.200917
