x,y,z
0.46447513,0.6536171,9.854534
0.2825158,1.2066777,9.715671
0.19153613,0.89543146,9.507375
0.50757074,1.8626889,9.301474
0.21547815,1.7142484,9.619903
0.48123455,1.5442601,9.744401
0.34715924,1.6807296,9.55047
0.62488663,1.7405846,9.172187
0.82599956,1.5346833,8.865729
0.50996494,3.3375173,9.581595
0.59855044,3.8666358,9.598354
0.6440403,3.833117,8.674192
0.5650316,3.881001,8.870518
0.39025488,3.2034419,9.028535
0.62488663,2.9281087,9.227253
0.4381389,3.1651347,9.454702
0.48602295,3.122039,9.624691
0.29927522,3.1675289,9.370906
0.4165911,2.7844565,8.858546
0.5410896,2.5905263,8.983045
0.50996494,2.717419,9.002198
0.60333884,2.2457612,8.911219
0.6368576,2.1260512,9.136273
0.6895301,2.3008277,9.083601
0.7134721,2.195483,9.751583
0.45250413,2.456451,9.660604
0.34955344,2.3439236,9.3733
0.3878607,2.0087352,9.26556
0.46686932,2.1547816,9.241618
0.40701428,2.4971523,9.421184
0.48362875,2.480393,9.414001
0.5267244,2.4349031,9.275137
0.5315128,2.2625206,9.31105
0.4309563,2.6623523,9.394848
0.35434186,2.693477,9.330204
0.45010993,2.4253263,9.337387
0.40462008,2.030283,9.504981
0.48123455,2.1547816,9.358934
0.5482722,2.420538,9.25359
0.61530983,2.5091233,9.14585
0.63206923,2.219425,9.167398
0.62728083,2.3822308,9.437943
0.48602295,2.2385786,9.394848
0.44532153,2.3104045,9.241618
0.45968673,2.2481554,9.41879
0.46686932,2.1667526,9.411607
0.39983168,2.231396,9.533711
0.45729253,2.3439236,9.397242
0.46208093,2.5378537,9.358934
0.51235914,2.6623523,9.23683
0.23702596,2.540248,9.598354
0.4381389,2.1859062,9.481039
0.37588966,2.2529438,9.423578
0.3878607,2.3582888,9.433155
0.45010993,2.0709844,9.3661175
0.36870706,2.087744,9.313444
0.49320555,1.8363527,9.272743
0.49799395,2.0614076,9.387665
0.45489833,2.1930888,9.378088
0.48362875,2.0853498,9.390059
0.51954174,2.0518308,9.303867
0.50517654,2.0374656,9.3182335
0.50278234,2.1906946,9.361329
0.51235914,2.4875755,9.423578
0.29688102,2.3942018,9.469068
0.32800564,2.207454,9.526528
0.29209262,1.958457,9.380483
0.37110126,1.6232687,9.502586
0.37828386,1.4437037,9.459491
0.5434838,1.6304513,9.346964
0.50996494,1.6783354,9.490616
0.45729253,1.7549498,9.495404
0.45489833,1.8866309,9.476251
0.46208093,1.8722657,9.562442
0.30166942,1.9081788,9.43076
0.39743748,1.8507179,9.370906
0.37828386,1.8076223,9.368511
0.45489833,1.7381904,9.533711
0.31124622,1.7357962,9.581595
0.48841715,1.7549498,9.500193
0.40940848,1.6711528,9.452309
0.4429273,1.6783354,9.404425
0.46686932,1.757344,9.509769
0.4309563,1.7884687,9.531317
0.46686932,1.745373,9.423578
0.46686932,1.8243817,9.380483
0.39264908,1.7477672,9.502586
0.49559975,1.721431,9.445126
0.3878607,1.6663644,9.500193
0.36631286,1.7980455,9.459491
0.45489833,1.553837,9.406818
0.4261679,1.3670892,9.629479
0.30645782,1.2449849,9.404425
0.50278234,1.5849615,9.258378
0.16519992,1.5729905,9.715671
0.23702596,1.3575124,9.689334
0.40462008,1.292869,9.483433
0.45250413,1.5729905,9.399636
0.39743748,1.7717092,9.378088
0.45968673,2.0207062,9.406818
0.44532153,2.099715,9.428367
0.36152446,2.360683,9.428367
0.34715924,2.147599,9.552865
0.37588966,1.9488802,9.409213
0.32561144,1.9488802,9.591172
0.24420857,1.7070658,9.591172
0.4357447,1.8579005,9.41879
0.33039984,1.553837,9.3733
0.47884035,1.4053963,9.409213
0.40462008,1.6304513,9.490616
0.29448682,1.8938135,9.52174
0.40222588,2.0278888,9.452309
0.37349546,1.9369092,9.445126
0.30406362,1.9177556,9.5385
0.29927522,1.8195933,9.564836
0.2801216,1.7477672,9.478644
0.33758244,1.5753847,9.516952
0.36870706,1.4652514,9.473856
0.40222588,1.4293385,9.416395
0.33997664,1.4676456,8.8777
0.4405331,2.111686,9.500193
0.48123455,2.2744915,9.325416
0.6919243,1.8267759,9.356541
0.7733272,1.0773908,9.174581
0.4333505,2.44448,9.816227
0.30645782,3.0262709,9.495404
0.2705448,2.9376855,9.3733
0.32561144,2.0925324,9.354146
0.22266077,2.2481554,9.485827
0.32321724,2.5139117,9.409213
0.39264908,2.6551697,9.346964
0.4381389,2.4612393,9.306262
0.36391866,2.2098482,9.301474
0.3878607,1.7597382,9.330204
0.35673606,1.4197617,9.437943
0.47165772,1.7118542,9.349358
0.37588966,2.1284454,9.394848
0.34955344,2.2050598,9.526528
0.32800564,2.2625206,9.375694
0.35673606,2.2697031,9.387665
0.35194764,2.3056161,9.351752
0.30406362,2.2170308,9.49301
0.35434186,2.0207062,9.476251
0.31364042,2.018312,9.421184
0.47644615,1.9800048,9.188946
0.4237737,2.066196,9.49301
0.24660277,1.8243817,9.627085
0.46926352,2.44448,9.356541
0.40940848,2.1068976,9.428367
0.36870706,1.99437,9.423578
0.46686932,2.1763294,9.275137
0.3854665,2.1883004,9.387665
0.45489833,1.9560628,9.3733
0.4405331,1.9321208,9.425972
0.31603462,2.099715,9.435549
0.31603462,2.1547816,9.44752
0.33279404,1.9656396,9.433155
0.39743748,1.9728222,9.394848
0.4381389,2.0039468,9.358934
0.4333505,2.042254,9.32781
